Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
691,113,123,10,11,662,1,0
692,114,124,10,10,595,2,0
693,114,124,10,10,617,2,0
694,114,118,4,10,637,0,0
695,114,156,42,10,638,11,0
696,114,138,24,11,643,5,0
697,114,117,3,11,657,0,0
698,114,119,5,10,667,0,0
699,114,119,5,11,668,0,0
700,115,124,9,11,592,0,0
701,115,123,8,9,608,0,0
702,115,119,4,10,618,0,0
703,115,118,3,9,624,0,0
704,115,118,3,9,646,0,0
705,115,118,3,10,647,0,0
706,115,118,3,11,648,0,0
707,115,118,3,12,665,0,0
708,116,116,0,10,598,0,0
709,116,122,6,11,662,0,0
710,116,116,0,10,669,0,0
711,117,130,13,10,595,3,0
712,117,117,0,10,637,0,0
713,117,135,18,11,643,5,0
714,117,119,2,11,657,0,0
715,117,119,2,11,668,0,0
716,118,128,10,11,592,1,0
717,118,130,12,9,608,2,0
718,118,122,4,10,618,0,0
719,118,128,10,9,624,1,0
720,118,121,3,9,646,0,0
721,118,121,3,10,647,0,0
722,118,121,3,11,648,0,0
723,118,121,3,12,665,0,0
724,118,121,3,11,674,0,0
725,118,118,0,11,675,0,0
726,118,121,3,11,676,0,0
727,118,121,3,11,677,0,0
728,119,133,14,10,669,3,0
729,119,119,0,12,679,0,0
730,119,121,2,11,692,0,0
731,119,122,3,11,693,0,0
732,120,120,0,10,595,0,0
733,120,127,7,10,637,1,0
734,120,140,20,11,657,5,0
735,120,134,14,11,668,3,0
736,120,121,1,11,690,0,0
737,120,121,1,12,691,0,0
738,121,122,1,9,624,0,0
739,121,122,1,9,646,0,0
740,121,135,14,11,648,3,0
741,121,133,12,12,665,2,0
742,121,124,3,11,676,0,0
743,122,127,5,10,669,0,0
744,122,122,0,12,679,0,0
745,122,126,4,11,692,0,0
746,122,165,43,11,693,12,1
747,122,145,23,11,711,6,0
748,122,122,0,12,713,0,0
749,123,125,2,10,637,0,0
750,123,126,3,11,668,0,0
751,123,123,0,11,690,0,0
752,123,125,2,11,695,0,0
753,123,126,3,12,696,0,0
754,124,138,14,9,624,3,0
755,124,150,26,9,646,7,0
756,124,144,20,11,648,5,0
757,124,159,35,12,665,9,0
758,124,127,3,11,676,0,0
759,125,128,3,12,679,0,0
760,125,128,3,11,711,0,0
761,125,128,3,12,713,0,0
762,125,128,3,12,716,0,0
763,125,126,1,10,717,0,0
764,125,126,1,11,733,0,0
765,125,128,3,12,734,0,0
766,126,128,2,10,637,0,0
767,126,126,0,11,690,0,0
768,126,131,5,11,695,0,0
769,126,128,2,12,696,0,0
770,126,147,21,10,719,5,0
771,126,140,14,11,728,3,0
772,126,137,11,12,740,1,0
773,127,137,10,9,624,1,0
774,127,128,1,9,646,0,0
775,127,128,1,11,648,0,0
776,127,127,0,12,665,0,0
777,127,129,2,11,676,0,0
778,127,134,7,12,735,0,0
779,128,133,5,12,679,0,0
780,128,132,4,11,711,0,0
781,128,130,2,12,713,0,0
782,128,131,3,10,717,0,0
783,128,131,3,12,734,0,0
784,128,131,3,13,741,0,0
785,129,142,13,10,637,2,0
786,129,147,18,11,690,3,0
787,129,132,3,11,695,0,0
788,129,143,14,12,696,2,0
789,129,133,4,11,728,0,0
790,129,129,0,12,740,0,0
791,129,130,1,12,746,0,0
792,129,132,3,12,747,0,0
793,130,133,3,9,624,0,0
794,130,140,10,11,648,1,0
795,130,131,1,12,665,0,0
796,130,133,3,12,735,0,0
797,131,133,2,12,679,0,0
798,131,133,2,12,713,0,0
799,131,132,1,12,734,0,0
800,131,144,13,13,741,2,0
801,131,138,7,10,754,0,0
802,131,133,2,10,755,0,0
803,131,135,4,12,756,0,0
804,132,135,3,10,637,0,0
805,132,135,3,11,690,0,0
806,132,135,3,11,695,0,0
807,132,135,3,12,696,0,0
808,132,135,3,11,728,0,0
809,132,135,3,12,740,0,0
810,132,135,3,12,746,0,0
811,132,135,3,12,747,0,0
812,133,133,0,9,624,0,0
813,133,133,0,11,648,0,0
814,133,133,0,12,665,0,0
815,133,145,12,12,735,1,0
816,133,135,2,13,757,0,0
817,133,140,7,11,770,0,0
818,133,165,32,12,771,8,1
819,134,143,9,12,679,0,0
820,134,137,3,12,713,0,0
821,134,134,0,12,734,0,0
822,134,141,7,10,754,0,0
823,134,137,3,10,755,0,0
824,134,140,6,12,756,0,0
825,134,136,2,10,773,0,0
826,135,140,5,10,637,0,0
827,135,135,0,11,690,0,0
828,135,140,5,11,695,0,0
829,135,140,5,12,696,0,0
830,135,138,3,12,746,0,0
831,135,138,3,12,747,0,0
832,135,138,3,13,772,0,0
833,136,153,17,9,624,3,0
834,136,158,22,11,648,5,0
835,136,155,19,12,665,4,0
836,136,141,5,13,757,0,0
837,136,140,4,11,770,0,0
838,136,139,3,12,771,0,0
839,137,137,0,12,734,0,0
840,137,137,0,10,754,0,0
841,137,146,9,10,755,1,0
842,137,141,4,12,756,0,0
843,138,138,0,10,637,0,0
844,138,138,0,11,690,0,0
845,138,143,5,11,695,0,0
846,138,147,9,12,746,1,0
847,138,139,1,12,747,0,0
848,138,158,20,11,785,5,0
849,138,140,2,12,786,0,0
850,138,140,2,13,788,0,0
851,138,140,2,12,794,0,0
852,139,146,7,9,624,1,0
853,139,165,26,11,648,7,1
854,139,139,0,12,665,0,0
